Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
236,use of clothes washer,4,40,,,,,,,,,,
236,use of clothes dryer,3,20,,,,,,,,,1,
236,use of cooking range,,,,,,,,,,,1,
236,use of  oven,11,40,,,,,,,,,1,
236,use of self-clean feature of electric oven,4,16,,,,,,,,,,
236,Small kitchen appliance in the home,,,,,,,,,,,,
236,TV/computer use,63,26,,,,,,,,,,
236,air travel - large plane,3136,44,,,,,,,,,,
236,air travel - small  plane (<50 seats),,,,,,,,,,,,
236,car trips- self only,264,42,,,,,1,,,,,
236,car trips - driver and self,15,27,,,,,1,,,,,
236,car trips - 2+ people with multiple end points,26,,,,,,1,,,,,
236,trips using public ground transportation,16,43,,,,,,,,,,
236,bags of garbage disposed,21,43,,,,,,,,,,
236,bags of recycling deposited (negative CF),,,,,,,,,,,,
236,bags of compost deposited (negative CF),,,,,,,,,,,,
236,hazardous or electric items disposed,,,,,,,,,,,,
236,large items disposed,2,12,,,,,,,,,,
237,Household heating => 70F,5,65,,,,,,1,,,,
237,Household heating < 70F,8,83,,,,,,1,,,,
237,Use of heat pump,-5,40,,,,,,,,1,,
237,Use of air conditioner,30,55,,,,,,,,,,
237,shower - short,8,83,,,,,,,,,,
237,shower - long (> 3 min),25,77,,,,,,,,,,
237,bath,,13,,,,,,,,,,
237,wash-up,35,35,,,,,,,,,,
237,use of dishwasher,,19,,,,,,,,,,
237,use of clothes washer,3,42,,,,,,,,,,
237,use of clothes dryer,1,18,,,,,,,,,,
237,use of cooking range,,,,,,,,,,,,
237,use of  oven,10,31,,,,,,,,,,
237,use of self-clean feature of electric oven,3,16,,,,,,,,,,
237,Small kitchen appliance in the home,,,,,,,,,,,,
237,TV/computer use,62,27,,,,,,,,,,
237,air travel - large plane,2449,43,,,,,,,,,,
237,air travel - small  plane (<50 seats),,,,,,,,,,,,
237,car trips- self only,464,51,,,,,1,,,,,
237,car trips - driver and self,22,35,,,,,1,,,,,
237,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
237,trips using public ground transportation,12,56,,,,,,,,,,
237,bags of garbage disposed,24,43,,,,,,,,,,
237,bags of recycling deposited (negative CF),,,,,,,,,,,,
237,bags of compost deposited (negative CF),,,,,,,,,,,,
237,hazardous or electric items disposed,,,,,,,,,,,,
237,large items disposed,1,14,,,,,,,,,,
238,Household heating => 70F,7,66,1,1,,1,,1,,,,
238,Household heating < 70F,1,65,,1,,,,1,,,,
238,Use of heat pump,,52,,,,,,,,,,
238,Use of air conditioner,15,45,,,,1,,,,,,
238,shower - short,6,85,,,,,,,,,,
238,shower - long (> 3 min),26,85,,,,,,,,,,
238,bath,,16,,,,1,,,,,,
238,wash-up,42,44,1,,,,,,,,,
238,use of dishwasher,,24,,,,,,,,,,
238,use of clothes washer,7,30,,,,,,,,,,
238,use of clothes dryer,1,19,,,,,,,,,1,
238,use of cooking range,,,,,,,,,,,1,
238,use of  oven,11,38,,,,,,,1,,1,
238,use of self-clean feature of electric oven,1,12,,,1,,,,,,,
238,Small kitchen appliance in the home,,,,,,,,,,,,
238,TV/computer use,59,28,,,,,,,,,,
238,air travel - large plane,2335,48,,,,,,,,,,
238,air travel - small  plane (<50 seats),432,21,,,,,,,,,,
238,car trips- self only,272,53,,,,,1,,,,,
238,car trips - driver and self,31,40,,,,,1,,,,,
238,car trips - 2+ people with multiple end points,12,,,,,,1,,,,,
238,trips using public ground transportation,14,62,,,,,,,,,,
238,bags of garbage disposed,17,45,,,,,,,,,,
238,bags of recycling deposited (negative CF),,,,,,,,,,,,
238,bags of compost deposited (negative CF),,,,,,,,,,,,
238,hazardous or electric items disposed,,,,,,,,,,,,
238,large items disposed,1,17,,,,,,,,,,
239,Household heating => 70F,4,72,1,,,,,1,,,,
239,Household heating < 70F,2,66,,,,,,1,,,,
239,Use of heat pump,,49,,,,,,,,,,
239,Use of air conditioner,27,48,,,,,,,,,,
239,shower - short,6,84,,,,,,,1,,,
239,shower - long (> 3 min),14,87,,,,,,,,,,
239,bath,,16,1,,,,,,,,,
239,wash-up,45,30,1,,,,,,,,,
239,use of dishwasher,,20,,,,,,,,,,
239,use of clothes washer,5,38,,,,,,,,,,
239,use of clothes dryer,3,15,,,,,,,,,,
239,use of cooking range,,,,,,,,,,,,
239,use of  oven,11,41,,,,,,,,,,
239,use of self-clean feature of electric oven,1,18,,,,,,,,,,
239,Small kitchen appliance in the home,54,,,,,,,,,,,
239,TV/computer use,61,30,,,,,,,,,,
239,air travel - large plane,3554,51,,,,,,,,,,
239,air travel - small  plane (<50 seats),,,,,,,,,,,,
239,car trips- self only,278,60,,,,,1,,,,,
239,car trips - driver and self,37,36,,,,,1,,,,,
239,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
239,trips using public ground transportation,18,45,,,,,,,,,,
239,bags of garbage disposed,21,45,,,,,,,,,,
239,bags of recycling deposited (negative CF),,,,,,,,,,,,
239,bags of compost deposited (negative CF),4,9,,,,,,,,,,
239,hazardous or electric items disposed,,,,,,,,,,,,
239,large items disposed,2,16,,,,,,,,,,
240,Household heating => 70F,8,61,,,,,,1,,,,
240,Household heating < 70F,9,67,,,,,,1,,,,
240,Use of heat pump,,54,,,,,,,,,,
240,Use of air conditioner,26,38,,,,,,,,,,
240,shower - short,7,91,,,,,,,,,,
240,shower - long (> 3 min),13,76,,,,,,,,1,,
240,bath,,12,,,,,,,,,,
240,wash-up,43,38,,,,,,,1,,,
240,use of dishwasher,14,20,,,,,,,,,,
240,use of clothes washer,5,27,,,,,,,,,,
240,use of clothes dryer,4,18,,,,,,,,,1,
240,use of cooking range,,,,,,,,,,,1,
240,use of  oven,8,37,,,1,,,,,,1,
240,use of self-clean feature of electric oven,2,16,,,,,,,,,,
240,Small kitchen appliance in the home,,,,,,,,,,,,
240,TV/computer use,63,26,,,,,,,,,,
240,air travel - large plane,2884,49,,,,,,,,,,1
240,air travel - small  plane (<50 seats),,,,,,,,,,,,1
240,car trips- self only,339,47,,,,,1,,,,,
240,car trips - driver and self,28,37,,,,,1,,,,,
240,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
240,trips using public ground transportation,17,43,,,,,,,,,,
240,bags of garbage disposed,25,43,,,,,,,,,,
240,bags of recycling deposited (negative CF),,,,,,,,,,,,
240,bags of compost deposited (negative CF),,,,,,,,,,,,
240,hazardous or electric items disposed,,,,,,,,,,,,
240,large items disposed,2,16,,,,,,,,,,
241,Household heating => 70F,1,90,,,,,,1,,,,
241,Household heating < 70F,7,88,,,,,,1,,1,,
241,Use of heat pump,,49,1,,,,,,,,,
241,Use of air conditioner,17,46,,,,,,,,,,
241,shower - short,5,84,,,,,,,,,,
241,shower - long (> 3 min),14,79,,,,,,,,,,
241,bath,,16,,,,,,,,,,
241,wash-up,47,40,,,1,,,,1,,,
241,use of dishwasher,,22,,,,,,,,,,
241,use of clothes washer,3,43,,,1,,,,,,,
241,use of clothes dryer,4,16,,,,,,,,,,
241,use of cooking range,,,1,,,,,,1,,,
241,use of  oven,9,32,,,,,,,,,,
241,use of self-clean feature of electric oven,2,12,,,,,,,,,,
241,Small kitchen appliance in the home,,,,,,,,,,,,
241,TV/computer use,62,27,,,,,,,,,,
241,air travel - large plane,2941,51,,,,,1,,,,,
241,air travel - small  plane (<50 seats),,,,,,,,,,,,
241,car trips- self only,456,52,,,,,1,,,,,
241,car trips - driver and self,10,32,,,,,1,,,,,
241,car trips - 2+ people with multiple end points,18,,,,,,1,,,,,
241,trips using public ground transportation,19,53,,,,,,,,,,
241,bags of garbage disposed,27,51,,,,,,,,,,
241,bags of recycling deposited (negative CF),,,,,,,,,,,,
241,bags of compost deposited (negative CF),7,15,,,,,,,,,,
241,hazardous or electric items disposed,,,,,,,,,,,,
241,large items disposed,2,17,,,,,,,,,,
242,Household heating => 70F,4,93,,,,,,1,,,,
242,Household heating < 70F,4,75,,1,,,,1,,,,
242,Use of heat pump,,40,,,,,,,,,,
242,Use of air conditioner,24,45,,,,,,,,,,
242,shower - short,3,84,,,,,,,,,,
242,shower - long (> 3 min),28,74,,,,,,,,,,
242,bath,,18,,,,,,,,,,
242,wash-up,39,28,,,,,,,,,,
242,use of dishwasher,,25,,,,,,,,,,
242,use of clothes washer,5,32,,,,,,,,,,
242,use of clothes dryer,3,17,,,,,,,,,1,
242,use of cooking range,,,,,,,,,,,1,
242,use of  oven,8,32,1,,,,,,,,1,
242,use of self-clean feature of electric oven,2,15,1,,,,,,,,,
242,Small kitchen appliance in the home,,,,,,,,,,,,
242,TV/computer use,64,21,,,,,,,,,,
242,air travel - large plane,2781,41,,,,,,,,,,1
242,air travel - small  plane (<50 seats),,,,,,,,,,,,
242,car trips- self only,315,51,,,,,1,,,,,
242,car trips - driver and self,29,40,,,,,1,,,,,
242,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
242,trips using public ground transportation,19,53,,,,,,,,,,
242,bags of garbage disposed,27,42,,,,,,,,,,
242,bags of recycling deposited (negative CF),,,,,,,,,,,,
242,bags of compost deposited (negative CF),,,,,,,,,,,,
242,hazardous or electric items disposed,,,,,,,,,,,,
242,large items disposed,,16,,,,,,,,,,
243,Household heating => 70F,4,82,,,,,,1,,,,
243,Household heating < 70F,9,61,,,,1,,1,,,,
243,Use of heat pump,,43,,,,,,,,,,
243,Use of air conditioner,21,40,,,,,,,,,,
243,shower - short,8,94,,,,,,,,,,
243,shower - long (> 3 min),26,82,1,,,,,,,,,
243,bath,7,20,,,,,,,,,,
243,wash-up,50,43,,,,1,,,,,,
243,use of dishwasher,20,20,,,,,,,,,,
243,use of clothes washer,4,30,,,,,,,,,,
243,use of clothes dryer,4,17,,,,,,,,,,
243,use of cooking range,,,,,,,,,,,,
243,use of  oven,11,31,,,,,,,,,,
243,use of self-clean feature of electric oven,4,20,,,,,,,,,,
243,Small kitchen appliance in the home,,,,,,,,,,,,
243,TV/computer use,60,29,,,,1,,,,,,
243,air travel - large plane,2895,46,,,,,,,,,,
243,air travel - small  plane (<50 seats),,,,,,,,,,,,1
243,car trips- self only,437,62,,,,,1,,,,,
243,car trips - driver and self,35,19,,,,,1,,,,,
243,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
243,trips using public ground transportation,17,51,,,,,,,,,,
243,bags of garbage disposed,24,43,,,,,,,,,,
243,bags of recycling deposited (negative CF),,,,,,,,,,,,
243,bags of compost deposited (negative CF),,,,,,,,,,,,
243,hazardous or electric items disposed,2,,,,,,,,,,,
243,large items disposed,2,13,,,,,,,,,,
244,Household heating => 70F,10,76,,,,,,1,,,,
244,Household heating < 70F,6,72,,,,1,,1,,,,
244,Use of heat pump,,43,,,,,,,,,,
244,Use of air conditioner,27,52,,1,,,,,,,,
244,shower - short,2,98,,,,,,,,,,
244,shower - long (> 3 min),40,85,,,,,,,,,,
244,bath,,13,,,,,,,,,,
244,wash-up,36,29,,,,,,,1,,,
244,use of dishwasher,,23,,,,,,,,,,
244,use of clothes washer,8,35,,,,,,,,,,
244,use of clothes dryer,2,15,,,,,,,,,1,
244,use of cooking range,,,,,,,,,,,1,
244,use of  oven,9,41,,,,,,,,,1,
244,use of self-clean feature of electric oven,3,15,,,,,,,,,,
244,Small kitchen appliance in the home,,,,,,,,,,,,
244,TV/computer use,58,28,,,,,,,,,,
244,air travel - large plane,2169,50,,,,,,,,,,1
244,air travel - small  plane (<50 seats),,,,,,,,,,,,
244,car trips- self only,459,50,,,,,1,,,,,
244,car trips - driver and self,16,36,,,,,1,,,,,
244,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
244,trips using public ground transportation,18,47,,,,,,,,,,
244,bags of garbage disposed,28,41,,,,,,,,,,
244,bags of recycling deposited (negative CF),,,,,,,,,,,,
244,bags of compost deposited (negative CF),3,6,,,,,,,,,,
244,hazardous or electric items disposed,,,,,,,,,,,,
244,large items disposed,1,16,,,,,,,,,,
245,Household heating => 70F,8,85,,,,,,1,,,,
245,Household heating < 70F,7,90,,1,,,,1,,,,
245,Use of heat pump,,42,,,,,,,,,,
245,Use of air conditioner,21,55,,,,,,,,,,
245,shower - short,4,84,,,1,,,,,,,
245,shower - long (> 3 min),28,88,,,,,,,,,,
245,bath,,13,,,,,,,,,,
245,wash-up,36,44,,,,,,,,,,
245,use of dishwasher,,25,,,,,,,,,,
245,use of clothes washer,8,35,,,,,,,,,,
245,use of clothes dryer,4,20,,,,,,,,,,
245,use of cooking range,,,,,,,,,,,,
245,use of  oven,12,40,,,,,,,,,,
245,use of self-clean feature of electric oven,2,14,1,,,,,,,,,
245,Small kitchen appliance in the home,,,,,,,,,,,,
245,TV/computer use,64,27,,,,,,,,,,
245,air travel - large plane,2599,49,,,,,,,,,,
245,air travel - small  plane (<50 seats),,,,,,,,,,,,1
245,car trips- self only,303,54,,,,,1,,,,,
245,car trips - driver and self,27,37,,,,,1,,,,,
245,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
245,trips using public ground transportation,15,60,,,,,,,,,,
245,bags of garbage disposed,20,48,,,,,,,,,,
245,bags of recycling deposited (negative CF),,,,,,,,,,,,
245,bags of compost deposited (negative CF),,,,,,,,,,,,
245,hazardous or electric items disposed,,,,,,,,,,,,
245,large items disposed,2,19,,,,,,,,,,
246,Household heating => 70F,4,70,,,,,,1,,,,
246,Household heating < 70F,4,67,,1,,,,1,,,,
246,Use of heat pump,,48,1,,,,,,,,,
246,Use of air conditioner,12,42,,,,,,,,,,
246,shower - short,3,93,,,,1,,,,,,
246,shower - long (> 3 min),36,86,,,,,,,,,,
246,bath,,18,,,,,,,1,,,
246,wash-up,51,30,,,,,,,,,,
246,use of dishwasher,,25,,,,,,,,1,,
246,use of clothes washer,3,45,,,,,,,,,,
246,use of clothes dryer,1,12,,,,,,,,,1,
246,use of cooking range,,,,,,,,,,,1,
246,use of  oven,8,33,,,,,,,,,1,
246,use of self-clean feature of electric oven,2,21,,1,,,,,,,,
246,Small kitchen appliance in the home,,,,,,,,,,,,
246,TV/computer use,61,31,,,,,,,,,,
246,air travel - large plane,3152,43,,,,,,,,,,
246,air travel - small  plane (<50 seats),542,27,,,,,,,,,,
246,car trips- self only,331,56,,,,,1,,,,,
246,car trips - driver and self,34,23,,,,,1,,,,,
246,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
246,trips using public ground transportation,19,62,,,,,,,,,,
246,bags of garbage disposed,23,46,,,,,,,,,,
246,bags of recycling deposited (negative CF),,,,,,,,,,,,
246,bags of compost deposited (negative CF),,,,,,,,,,,,
246,hazardous or electric items disposed,,,,,,,,,,,,
246,large items disposed,1,14,,,,,,,,,,
247,Household heating => 70F,2,70,,,,1,1,1,,,,
247,Household heating < 70F,2,75,,,,,,1,,,,
247,Use of heat pump,,47,,,1,,,,,,,
247,Use of air conditioner,25,50,,,,,,,,,,
247,shower - short,8,95,,,,,,,,,,
247,shower - long (> 3 min),23,88,,,,,,,,,,
247,bath,,19,,,,,,,,,,
247,wash-up,55,31,,,,,,,,,,
247,use of dishwasher,,21,,,,,,,,,,
247,use of clothes washer,2,33,,,,,,,,,,
247,use of clothes dryer,2,21,,,,,,,,,,
247,use of cooking range,,,,,,,,,,,,
247,use of  oven,8,41,,,,,,,,,,
247,use of self-clean feature of electric oven,1,20,,,,,,,,,,
247,Small kitchen appliance in the home,,,,,,,,,,,,
247,TV/computer use,58,31,1,,,,,,,,,
247,air travel - large plane,3292,45,,,,,,,,,,
247,air travel - small  plane (<50 seats),,,,,,,,,,,,1
247,car trips- self only,357,44,,,,,1,,,,,
247,car trips - driver and self,10,22,,,,,1,,,,,
247,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
247,trips using public ground transportation,18,60,,,,,,,,,,
247,bags of garbage disposed,17,43,,,,,,,,,,
247,bags of recycling deposited (negative CF),,,,,,,,,,,,
247,bags of compost deposited (negative CF),4,9,,,,,,,,,,
247,hazardous or electric items disposed,1,,,,,,,,,,,
247,large items disposed,1,18,,,,,,,,,,
248,Household heating => 70F,4,91,,,,1,,1,,,,
248,Household heating < 70F,6,63,,,1,,,1,,,,
248,Use of heat pump,,46,,,,,,,,,,
248,Use of air conditioner,28,56,,,,,,,,,,
248,shower - short,4,85,,,,,,,,,,
248,shower - long (> 3 min),28,77,,,,,,,,,,
248,bath,,9,,,,,,,,,,
248,wash-up,44,42,1,,,,,,,,,
248,use of dishwasher,,21,,,,,,,,,,
248,use of clothes washer,2,38,,,,,,,,,,
248,use of clothes dryer,1,16,1,,,,,,,,1,
248,use of cooking range,,,,,,,,,,,1,
248,use of  oven,11,34,,,,1,,,,,1,
248,use of self-clean feature of electric oven,1,14,,,,1,,,,,,
248,Small kitchen appliance in the home,,,,,,1,,,,,,
248,TV/computer use,61,27,,,,,,,,,,
248,air travel - large plane,2716,47,,,,,,,,,,
248,air travel - small  plane (<50 seats),,,,,,,,,,,,1
248,car trips- self only,350,42,,,,,1,,,,,
248,car trips - driver and self,36,39,,,,,1,,,,,
248,car trips - 2+ people with multiple end points,18,,,,,,1,,,,,
248,trips using public ground transportation,14,58,,,,,,,,,,
248,bags of garbage disposed,18,45,,,,,,,,,,
248,bags of recycling deposited (negative CF),,,,,,,,,,,,
248,bags of compost deposited (negative CF),,,,,,,,,,,,
248,hazardous or electric items disposed,,,,,,,,,,,,
248,large items disposed,2,13,,,,,,,,,,
249,Household heating => 70F,2,88,,,,,,1,,,,
249,Household heating < 70F,2,63,,,,,,1,,,,
249,Use of heat pump,,41,,,,1,,,,,,
249,Use of air conditioner,16,50,,,,,,,,,,
249,shower - short,5,98,,,,,,,,,,
249,shower - long (> 3 min),21,82,,,,,,,,,,
249,bath,,11,,,,,,,,,,
249,wash-up,34,39,,,1,,,,,,,
249,use of dishwasher,11,19,,,,,,,,,,
249,use of clothes washer,2,32,,,,,,,,,,
249,use of clothes dryer,3,11,,,,,,,,,,
249,use of cooking range,,,,,,,,,,,,
249,use of  oven,12,40,,,,,,,,,,
249,use of self-clean feature of electric oven,1,11,,,,,,,,,,
249,Small kitchen appliance in the home,,,,,,,,,,,,
249,TV/computer use,63,24,,,,,,,,,,
249,air travel - large plane,3739,47,,,,,,,,,,
249,air travel - small  plane (<50 seats),,,,,,,,,,,,1
249,car trips- self only,263,60,,,,,1,,,,,
249,car trips - driver and self,33,28,,,,,1,,,,,
249,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
249,trips using public ground transportation,13,55,,,,,,,,,,
249,bags of garbage disposed,28,48,,,,,,,,,,
249,bags of recycling deposited (negative CF),,,,,,,,,,,,
249,bags of compost deposited (negative CF),,,,,,,,,,,,
249,hazardous or electric items disposed,,,,,,,,,,,,
249,large items disposed,2,14,,,,,,,,,,
250,Household heating => 70F,8,88,,,,,,1,,,,
250,Household heating < 70F,1,83,,,,,,1,,,,
250,Use of heat pump,,54,,,,,,,,,,
250,Use of air conditioner,19,52,,,,1,,,,,,
250,shower - short,3,84,,,,,,,1,,,
250,shower - long (> 3 min),11,88,,,,,,,,,,
250,bath,,12,,,,,,,,,,
250,wash-up,42,25,,,,,,,,,,
250,use of dishwasher,18,20,,1,,,,,,,,
250,use of clothes washer,5,40,,,,,,,,,,
250,use of clothes dryer,2,21,,,,,,,,,1,
250,use of cooking range,,,1,,,,,,,,1,
250,use of  oven,8,38,,,1,,,,,,1,
250,use of self-clean feature of electric oven,1,21,,,,,,,,,,
250,Small kitchen appliance in the home,,,,,,,,,1,,,
250,TV/computer use,60,22,,,,,,,,,,
250,air travel - large plane,2195,42,,,,,,,,,,1
250,air travel - small  plane (<50 seats),,,,,,,,,,,,
250,car trips- self only,367,51,,,,,1,,,,,
250,car trips - driver and self,32,27,,,,,1,,,,,
250,car trips - 2+ people with multiple end points,15,,,,,,1,,,,,
250,trips using public ground transportation,14,48,,,,,,,,,,
250,bags of garbage disposed,23,47,,,,,,,,,,
250,bags of recycling deposited (negative CF),,,,,,,,,,,,
250,bags of compost deposited (negative CF),,,,,,,,,,,,
250,hazardous or electric items disposed,,,,,,,,,,,,
250,large items disposed,2,16,,,,,,,,,,
251,Household heating => 70F,9,83,,,,,,1,,,,
251,Household heating < 70F,8,90,,,,,,1,,,,
251,Use of heat pump,,40,,,,,,,,,,
251,Use of air conditioner,21,49,,,,,,,,,,
251,shower - short,2,90,,,,1,,,,,,
251,shower - long (> 3 min),31,77,,,,,,,,,,
251,bath,,9,,,,,,,,,,
251,wash-up,34,42,,,,,,,,,,
251,use of dishwasher,,21,,,1,,,,,,,
251,use of clothes washer,2,39,,,,,,,,,,
251,use of clothes dryer,1,19,,,,,,,,,,
251,use of cooking range,,,,,,,,,,,,
251,use of  oven,12,31,,,,,,,,,,
251,use of self-clean feature of electric oven,3,18,,,,,,,,,,
251,Small kitchen appliance in the home,,,,,,,,,,1,,
251,TV/computer use,62,21,,,,,,,,,,
251,air travel - large plane,3549,48,,,,,1,,,,,
251,air travel - small  plane (<50 seats),,,,,,,,,,,,
251,car trips- self only,330,48,,,,,1,,,,,
251,car trips - driver and self,14,34,,,,,1,,,,,
251,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
251,trips using public ground transportation,19,47,,,,,,,,,,
251,bags of garbage disposed,19,49,,,,,,,,,,
251,bags of recycling deposited (negative CF),,,,,,,,,,,,
251,bags of compost deposited (negative CF),,,,,,,,,,,,
251,hazardous or electric items disposed,,,,,,,,,,,,
251,large items disposed,2,13,,,,,,,,,,
252,Household heating => 70F,10,63,,,,,,1,,,,
252,Household heating < 70F,5,91,,,,1,,1,,,,
252,Use of heat pump,,49,,,,,,,,,,
252,Use of air conditioner,19,52,,,,,,,,,,
252,shower - short,8,97,,,,,,,1,,,
252,shower - long (> 3 min),27,72,,,,,,,,,,
252,bath,,14,,,,,,,,,,
252,wash-up,49,29,,,,,,,,,,
252,use of dishwasher,,20,,,1,,,,,,,
252,use of clothes washer,6,27,,,,,,,,,,
252,use of clothes dryer,1,21,,,,,,,,,1,
252,use of cooking range,,,,,,,,,,,1,
252,use of  oven,8,39,,,,,,,,,1,
252,use of self-clean feature of electric oven,1,20,,,,,,,,,,
252,Small kitchen appliance in the home,,,,,,,,,,1,,
252,TV/computer use,60,22,,,,,,,,,,
252,air travel - large plane,3926,46,,,,,,,,,,
252,air travel - small  plane (<50 seats),,,,,,,,,,,,
252,car trips- self only,383,58,,,,,1,,,,,
252,car trips - driver and self,12,38,,,,,1,,,,,
252,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
252,trips using public ground transportation,15,42,,,,,,,,,,
252,bags of garbage disposed,20,50,,,,,,,,,,
252,bags of recycling deposited (negative CF),,,,,,,,,,,,
252,bags of compost deposited (negative CF),,,,,,,,,,,,
252,hazardous or electric items disposed,,,,,,,,,,,,
252,large items disposed,2,15,,,,,,,,,,
253,Household heating => 70F,8,61,,1,,,,1,,,,
253,Household heating < 70F,7,61,,,1,,1,1,,,,
253,Use of heat pump,,53,,,,,,,,,,
